City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,la poza,20.1167,-96.9667,83.1,38,26,6.44,MX,1673890533
84,taoudenni,22.6783,-3.9836,73.47,17,0,9.84,ML,1673890534
85,warrnambool,-38.3833,142.4833,62.01,75,1,8.77,AU,1673890534
86,braesti,47.15,27.1,44.98,75,100,16.11,RO,1673890535
87,upernavik,72.7868,-56.1549,-1.71,96,100,9.26,GL,1673890536
88,buraydah,26.326,43.975,55.85,89,75,5.14,SA,1673890536
89,inta,66.0317,60.1659,22.84,80,100,22.66,RU,1673890537
90,sivas,39.7916,37.0019,32.63,86,75,9.22,TR,1673890537
91,lianzhou,24.7811,112.3825,40.28,74,100,4.09,CN,1673890538
92,havoysund,70.9963,24.6622,35.83,84,74,8.37,NO,1673890532
93,russell,32.3502,-85.1999,59.41,41,0,5.75,US,1673890318
94,booue,-0.0921,11.9385,78.19,75,100,2.33,GA,1673890539
95,victoria,22.2855,114.1577,56.25,78,96,8.99,HK,1673890504
96,druzhba,52.0428,33.9453,29.95,94,100,14.41,UA,1673890540
97,daniel flores,9.3355,-83.6694,80.13,62,50,5.01,CR,1673890540
98,kununurra,-15.7667,128.7333,76.98,94,77,5.75,AU,1673890541
99,prince rupert,54.3161,-130.3201,40.69,99,100,11.5,CA,1673890246
100,fayaoue,-20.65,166.5333,78.42,68,90,13.76,NC,1673890541
101,plettenberg bay,-34.0527,23.3716,71.01,92,45,13.71,ZA,1673890542
102,grand gaube,-20.0064,57.6608,79.38,70,96,5.99,MU,1673890542
103,novopokrovka,49.8425,36.5477,28.87,90,100,8.66,UA,1673890543
104,korla,41.7597,86.1469,4.23,93,56,2.19,CN,1673890370
105,punalur,9.0,76.9333,69.31,68,54,3.91,IN,1673890544
106,roebourne,-20.7833,117.1333,82.13,73,23,10.25,AU,1673890544
107,gaspe,48.8334,-64.4819,26.51,86,100,2.3,CA,1673890423
108,beloha,-25.1667,45.05,76.66,80,1,15.43,MG,1673890545
109,dharchula,29.85,80.5333,43.2,34,1,7.65,IN,1673890545
110,vila velha,-20.3297,-40.2925,85.95,70,20,16.11,BR,1673890546
111,carutapera,-1.195,-46.02,80.42,72,100,5.82,BR,1673890546
112,millington,35.3415,-89.8973,56.17,90,100,12.66,US,1673890547
113,viedma,-40.8135,-62.9967,93.02,13,9,10.2,AR,1673890460
114,tornio,65.8481,24.1466,32.02,98,100,13.35,FI,1673890547
115,san patricio,28.017,-97.5169,77.16,67,92,11.43,US,1673890548
116,hermanus,-34.4187,19.2345,75.79,80,7,17.98,ZA,1673890548
117,wanxian,30.8039,108.3897,40.77,89,92,0.69,CN,1673890549
118,castro,-24.7911,-50.0119,77.58,71,62,1.77,BR,1673890549
119,nanortalik,60.1432,-45.2371,9.99,58,27,19.82,GL,1673890550
120,morondava,-20.2833,44.2833,82.27,72,20,9.37,MG,1673890550
121,kijang,35.2442,129.2139,31.73,34,49,5.08,KR,1673890551
122,barrow,71.2906,-156.7887,-23.78,76,20,12.66,US,1673890551
123,carnarvon,-24.8667,113.6333,71.94,66,0,25.75,AU,1673890552
124,mar del plata,-38.0023,-57.5575,73.94,79,40,14.97,AR,1673890552
125,komsomolskiy,40.4272,71.7189,16.52,79,2,2.3,UZ,1673890255
126,mandalgovi,45.7625,106.2708,-0.62,77,2,10.76,MN,1673890553
127,melfort,52.8667,-104.6177,15.93,86,99,0.0,CA,1673890554
128,sola,-13.8833,167.55,80.78,77,77,9.66,VU,1673890554
129,dolores,-36.3132,-57.6792,98.71,16,20,13.15,AR,1673890555
130,shieli,44.1667,66.75,22.8,42,0,11.21,KZ,1673890555
131,dongsheng,39.8161,109.9776,7.02,73,61,19.98,CN,1673890556
132,east london,-33.0153,27.9116,76.14,94,100,8.05,ZA,1673890296
133,umm lajj,25.0213,37.2685,68.68,48,20,15.03,SA,1673890556
134,sao felix do xingu,-6.6447,-51.995,81.0,84,86,0.89,BR,1673890557
135,kloulklubed,7.0419,134.2556,75.7,72,91,4.36,PW,1673890558
136,vung tau,10.346,107.0843,76.42,77,9,7.14,VN,1673890558
137,hilo,19.7297,-155.09,80.28,87,20,4.61,US,1673890490
138,kattivakkam,13.2167,80.3167,73.49,68,0,7.05,IN,1673890559
